author_clean,race,gender,log10_hits,count
Aayushi Jain,asian,female,5.056905,1
Abayomi Aikulola,black,male,3.260071,1
Abbe Pierre,white,male,5.03742649794062,2
Abbe Smith,white,female,4.60852603357719,1
Abbey Clancy,white,female,5.49415459401844,1
Abbi Glines,white,female,6.21218760440396,10
Abbi Jacobson,white,female,5.47275644931721,1
Abbie Cornish,white,female,5.82412583391655,1
Abbie Hoffman,white,male,5.31597034545692,9
Abbott L. Lowell,white,male,3.07918124604762,1
Abby Clements,white,female,4.6063813651106,5
Abby Danielle Burlbaugh,white,female,1.92941892571429,1
Abby Donnelly,white,female,4.91222205653242,1
Abby Fabiaschi,white,female,4.44870632,7
Abby Green,white,female,5.58771096501891,1
Abby Lee Miller,white,female,5.8998205024271,1
Abby McDonald,white,female,4.51054501020661,1
Abby Niles,white,female,4.57518784492766,3
Abby Norman,white,female,4.65224634100332,4
Abby Rosmarin,white,female,4.46982201597816,2
Abby Wambach,white,female,5.59328606702046,3
Abdourahman A. Waberi,black,male,4.695482,1
Abduazeez Henry Musa,black,male,3.600973,1
Abdul Jaleel Kavungal Kunnumpurath,asian,male,1.93951925261862,2
Abdul Manan,asian,male,6.596597,1
Abdul Sattar Edhi,asian,male,5.61278385671974,4
Abdul khadar,asian,male,5.664642,1
Abdulkadir Abdullahi Mohamed Mirre,black,male,1.64345267648619,6
Abdulrazak Gurnah,black,male,6.06445798922692,2
Abdus Salam,asian,male,6.70671778233676,1
Abe Lemons,white,male,4.45178643552429,3
Abeba Habtu,black,female,3.13672056715641,5
Abel Stevens,white,male,4.54032947479087,1
Abelardo Morell,latino,male,5.08636,1
Aberjhani,black,male,4.59549622182557,10
Abha Maryada Banerjee,asian,female,3.62736585659273,10
Abhayam Verma Arya,asian,male,1.908485,1
Abheek Kakkar,asian,male,2.012837,1
Abhijeet Sawant,asian,male,5.8228216453031,6
Abhijit Kar Gupta,asian,male,3.96236933567002,6
Abhijit Naskar,asian,male,5.3747483460101,10
Abhijit Tripathi,asian,male,4.09342168516223,3
Abhijit V. Banerjee,asian,male,5.47856649559384,2
Abhik Chatterjee,asian,male,4.466868,1
Abhimanyu Jha,asian,male,4.53529412004277,3
Abhinav .M,asian,male,4.392697,1
Abhinav Bhalla,asian,male,3.770115,1
Abhinav Rajput,asian,male,4.80277372529198,5
Abhinav Srivastava,asian,male,5.51188336097887,1
Abhishek Bachchan,asian,male,6.728354,1
Abhishek Bisht,asian,male,4.777427,1
Abhishek Kothari,asian,male,4.586587,1
Abhishek Krishnan,asian,male,4.528917,1
Abhishek Kumar,asian,male,6.83378437465648,8
Abhishek Kumar Singh,asian,male,6.48000694295715,3
Abhishek Leela Pandey,asian,male,3.568202,1
Abhishek Mishra,asian,male,6.450249,1
Abhishek Rai,asian,male,5.874482,1
Abhishek Rath,asian,male,4.670246,1
Abhishek Ratna,asian,male,3.98587535730839,10
Abhishek Sachdeva,asian,male,4.866878,1
Abhishek Sundarraman,asian,male,2.716003,1
Abhishek Thakore,asian,male,4.08636,1
Abhishek jadaun,asian,male,3.647383,2
Abhysheq Shukla,asian,male,3.88309335857569,9
Abid Hussain Library Officer,asian,male,2.4456042032736,10
Abidul Huda Chowdhury Suzon,asian,male,2.91750550955255,2
Abigail Adams,white,female,5.89872518158949,10
Abigail Baker,white,female,4.88366143515362,1
Abigail Biddinger,white,female,2.84135947045485,3
Abigail Breslin,white,female,5.97173959088778,2
Abigail Brown,white,female,5.14301480025409,1
Abigail Gibbs,white,female,5.06445798922692,3
Abigail Green,white,female,4.75358305889291,1
Abigail Haas,white,female,5.52113808370404,2
Abigail Johnson,white,female,5.78675142214556,1
Abigail Owen,white,female,5.30319605742049,1
Abigail Padgett,white,female,4.18752072083646,1
Abigail Reynolds,white,female,4.83821922190763,2
Abigail Roux,white,female,4.475671188,4
Abigail Strom,white,female,4.08635983067475,1
Abigail Tarttelin,white,female,4.51321760006794,3
Abigail Thomas,white,female,4.96567197122011,7
Abigail Van Buren,white,female,5.40823996531185,8
Abigal Muchecheti,black,female,1.75587485567249,2
Abilash Balan,asian,male,3.170262,1
Abiola Abrams,black,female,5.029383778,10
Abner Cole,white,male,3.66931688056611,1
Aboubakar Msangi,black,male,2.167317,1
Abraham Cahan,white,male,4.97543180850926,7
Abraham Cowley,white,male,4.80345711564841,10
Abraham Flexner,white,male,5.36172783601759,1
Abraham Ford,white,male,4.85733249643127,1
Abraham Grace Merritt,white,male,4.00432137378264,1
Abraham H. Maslow,white,male,5.39619934709574,9
Abraham Hicks,white,female,5.82216807936802,3
Abraham J. Heschel,white,male,4.71683772329952,2
Abraham Kuyper,white,male,5.26481782300954,4
Abraham Linchon,white,male,7.33645973384853,1
Abraham Lincoln,white,male,7.35024801833416,10
Abraham Maslow,white,male,6.17026171539496,9
Abraham Rotstein,white,male,3.83505610172012,3
Abraham Tucker,white,male,4.411619706,2
Abraham Verghese,asian,male,5.97909290063833,10
Abrar Ahmed chowdhury,asian,male,3.99255351783214,4
Abu Ameenah Bilal Philips,black,male,5.363612,1
Abu Bakar Bashir,asian,male,4.718502,1
Ace Frehley,white,male,7.01283722470517,3
Acharya Shantideva,asian,male,3.60206,1
Acharya Shunya,asian,female,4.995196,1
Achda Dona musthofa,asian,male,2.542825,1
Achy Obejas,latino,female,5.454845,1
Ackshat Deoli,asian,male,2.771587,1
Ad Reinhardt,white,male,5.08278537,2
Ada Adams,white,female,5.16731733474818,2
Ada Calhoun,white,female,4.52374646681156,10
Ada Levenson,white,female,2.50242711998443,2
Ada Limon,latino,female,5.23552844690755,4
Ada Louise Huxtable,white,female,4.98497712641549,1
Ada Lovelace,white,female,6.67669360962487,4
Ada Palmer,white,female,4.79448804665917,8
Ada Velez-Boardley,latino,female,3.962369,1
Ada Yonath,white,female,5.149219113,4
Adalbert de Vogüé,white,male,4.51454775266029,3
Adam Ant,white,male,5.80955971463527,3
Adam Berlin,white,male,4.75127910398334,3
Adam Braun,white,male,4.65417654187796,1
Adam Brody,white,male,6.31386722036915,3
Adam Bryant,white,male,5.89817648349768,1
Adam Burch,white,male,4.13987908640124,4
Adam Carolla,white,male,6.45024910831936,7
Adam Clarke,white,male,5.78887511577542,2
Adam Clayton,white,male,6.54406804435028,2
Adam Clayton Powell III,black,male,4.271842,1
Adam Cohen,white,male,5.46982201597816,5
Adam Copeland,white,male,5.62013605497376,1
Adam D'Angelo,white,male,5.24797326636181,1
Adam DeVine,white,male,5.90902085421116,4
Adam Driver,white,male,6.56110138364906,4
Adam Duritz,white,male,5.32837960343874,1
Adam Fenner,white,male,4.025305865,2
